Rank,Country,Country Code,Continent,Gold,Silver,Bronze,Total,Population,GDP per capita (current US$)
1,United States,US,North America,40,44,42,126,334914895,71972.64137
2,China,CHN,Asia,40,27,24,91,1410710000,11689.34581
3,Japan,JPN,Asia,20,12,13,45,124516650,37673.3847
4,Australia,AUS,Oceania,18,19,16,53,26638544,59480.90144
5,France,FRA,Europe,16,26,22,64,68170228,41738.60442
6,Netherlands,NED,Europe,15,7,12,34,17879488,56585.69168
7,Great Britain,GBG,Europe,14,22,29,65,66970000,46125.26
8,South Korea,KOR,Asia,13,9,10,32,51712619,32853.0586
9,Italy,ITA,Europe,12,13,15,40,58761146,35095.94639
10,Germany,GER,Europe,12,13,8,33,84482267,49289.02237
11,New Zealand,NZ,Oceania,10,7,3,20,5223100,46180.28448
12,Canada,CAN,North America,9,7,11,27,40097761,50253.72868
13,Uzbekistan,UZB,Asia,8,2,3,13,36412350,2064.040542
14,Hungary,HUN,Europe,6,7,6,19,9589872,18435.26151
15,Spain,SPA,Europe,5,4,9,18,48373336,29881.23276
16,Sweden,SWE,Europe,4,4,3,11,10536632,55759.95411
17,Kenya,KEN,Africa,4,2,5,11,55100586,2005.037898
18,Norway,NOR,Europe,4,1,3,8,5519594,86920.74627
19,Ireland,IRE,Europe,4,0,3,7,5262382,95298.27216
20,Brazil,BRZ,South America,3,7,10,20,216422446,8534.605259
21,Iran,IRN,Asia,3,6,3,12,89172767,3855.675365
22,Ukraine,UKR,Europe,3,5,4,12,37000000,4399.675732
23,Romania,ROM,Europe,3,4,2,9,19056116,15012.76132
24,Georgia,GEO,Europe,3,3,1,7,3760365,5795.191456
25,Belgium,BEL,Europe,3,1,6,10,11822592,49502.181
26,Bulgaria,BUL,Europe,3,1,3,7,6430370,12402.81308
27,Serbia,SER,Europe,3,1,1,5,6618026,9056.522322
28,Czech Republic,CZE,Europe,3,0,2,5,10873689,26226.85611
29,Denmark,DEN,Europe,2,2,5,9,5946952,65091.13215
30,Azerbaijan,AZE,Europe,2,2,3,7,10112555,5873.877509
30,Croatia,CRO,Europe,2,2,3,7,3853200,17535.75464
32,Cuba,CUB,North America,2,1,6,9,11194449,9319.476507
33,Bahrain,BHR,Asia,2,1,1,4,1485509,27076.70714
34,Slovenia,SLO,Europe,2,1,0,3,2120937,28306.95712
35,Chinese Taipei,TPE,Asia,2,0,5,7,NA,NA
36,Austria,AUT,Europe,2,0,3,5,9132383,52193.1247
37,Hong Kong,HK,Asia,2,0,2,4,7346000,48983.62
37,Philippines,PHI,Asia,2,0,2,4,117337368,3464.693944
39,Algeria,ALG,Africa,2,0,1,3,45606480,4564.844347
39,Indonesia,IDN,Asia,2,0,1,3,277534122,4421.907866
41,Israel,ISR,Asia,1,5,1,7,9756700,49724.23102
42,Poland,POL,Europe,1,4,5,10,36685849,18082.49396
43,Kazakhstan,KAZ,Asia,1,3,3,7,19900177,10765.2318
44,Jamaica,JAM,North America,1,3,2,6,2825544,5725.686596
44,South Africa,SA,Africa,1,3,2,6,60414495,6509.769746
44,Thailand,THA,Asia,1,3,2,6,71801279,7157.159545
47,Ethiopia,ETH,Africa,1,3,0,4,126527060,1001.075906
48,Switzerland,SWI,Europe,1,2,5,8,8849852,91344.19871
49,Ecuador,ECU,South America,1,2,2,5,18190484,6140.120833
50,Portugal,POR,Europe,1,2,1,4,10525347,24404.9535
51,Greece,GRE,Europe,1,1,6,8,10361295,20185.82885
52,Argentina,ARG,South America,1,1,1,3,46654581,11299.29838
52,Egypt,EGY,Africa,1,1,1,3,112716598,3656.70506
52,Tunisia,TUN,Africa,1,1,1,3,12458223,3658.481594
55,Botswana,BOT,Africa,1,1,0,2,2675352,6957.26003
55,Chile,CHI,South America,1,1,0,2,19629590,15293.82586
55,St Lucia,LCA,North America,1,1,0,2,180251,11459.14292
55,Uganda,UGA,Africa,1,1,0,2,48582334,906.4504172
59,Dominican Republic,DOM,North America,1,0,2,3,11332972,8929.053676
60,Guatemala,GUA,North America,1,0,1,2,17602431,5111.582503
60,Morocco,MOR,Africa,1,0,1,2,37840044,3527.696094
62,Dominica,DMA,North America,1,0,0,1,73040,8106.886958
62,Pakistan,PKN,Asia,1,0,0,1,240485658,1452.374849
64,Turkey,TUR,Europe,0,3,5,8,85326000,10251.53009
65,Mexico,MEX,North America,0,3,2,5,128455567,11019.2336
66,Armenia,ARM,Europe,0,3,1,4,2777970,6008.194534
66,Colombia,COL,South America,0,3,1,4,52085168,6312.888339
68,North Korea,PRK,Asia,0,2,4,6,26160821,1217
68,Kyrgyzstan,KGZ,Asia,0,2,4,6,7100800,1556.72393
70,Lithuania,LTU,Europe,0,2,2,4,2871897,23205.7095
71,India,IND,Asia,0,1,5,6,1428627663,2213.409889
72,Moldova,MDA,Europe,0,1,3,4,2486891,5284.329415
73,Kosovo,KOS,Europe,0,1,1,2,1756374,5046.323401
74,Cyprus,CYP,Europe,0,1,0,1,1260138,31439.38672
74,Fiji,FIJ,Oceania,0,1,0,1,936375,5324.757646
74,Jordan,JOR,Asia,0,1,0,1,11337052,4220.834185
74,Mongolia,MGL,Asia,0,1,0,1,3447157,4762.513793
74,Panama,PAN,North America,0,1,0,1,4468087,16255.37014
79,Tajikistan,TJK,Asia,0,0,3,3,10143543,984.6946478
80,Albania,ALB,Europe,0,0,2,2,2745972,6458.868963
80,Grenada,GRN,North America,0,0,2,2,126183,9512.406197
80,Malaysia,MAS,Asia,0,0,2,2,34308525,11214.58638
80,Puerto Rico,PUR,North America,0,0,2,2,3205691,33802.13698
84,Cape Verde,CPV,Africa,0,0,1,1,598682,3744.982919
84,Ivory Coast,CIV,Africa,0,0,1,1,28873034,2505.987442
84,Refugee Olympic Team,EOR,Global,0,0,1,1,NA,NA
84,Peru,PER,South America,0,0,1,1,34352719,6949.323111
84,Qatar,QAT,Asia,0,0,1,1,2716391,67370.55462
84,Singapore,SIN,Asia,0,0,1,1,5917648,76062.57898
84,Slovakia,SVK,Europe,0,0,1,1,5426740,21290.11429
84,Zambia,ZAM,Africa,0,0,1,1,20569737,1237.426046
